Building ID,Max Height,Min Height,Avg Height,Stddev Height,Num Points,Avg Height Diff,Difference,Frequency
v0.1-NLD.9.4_1-57037,16.50600052,15.56000042,15.67527676,0.168074355,275,0.332276344,,
v0.1-NLD.9.4_1-118850,3.062999964,3.026000023,3.04104352,0.010514895,23,0.076933622,,
v0.1-NLD.9.4_1-10234,18.81399918,3.398000002,16.36620903,1.921046138,449,0.109109879,,
v0.1-NLD.9.4_1-102681,17.21299934,15.57199955,15.74618244,0.238960385,236,0.382282257,,
v0.1-NLD.9.4_1-114539,21.43899918,0.497999996,16.60821152,1.053603649,453,0.464912415,,
v0.1-NLD.9.4_1-37239,17.29199982,0.481999993,16.36997795,1.198508143,374,0.269178391,,
v0.1-NLD.9.4_1-162958,17.49099922,4.265999794,16.41920662,0.869108438,407,0.33760643,,
v0.1-NLD.9.4_1-116964,21.42300034,0.43599999,16.4899826,1.07618773,759,0.377782822,,
v0.1-NLD.9.4_1-94139,17.45800018,0.446999997,16.38038635,1.090279937,364,0.273885727,,
v0.1-NLD.9.4_1-154607,17.41699982,13.44799995,15.84088802,0.937770128,439,0.000887871,,
v0.1-NLD.9.4_1-140288,7.971000195,2.522000074,2.693026304,0.867853701,38,0.185226202,,
v0.1-NLD.9.4_1-30185,2.588000059,0.852999985,2.477666616,0.363656223,21,-0.047503471,,
v0.1-NLD.9.4_1-83963,16.67700005,12.77799988,14.55544567,1.280102372,258,-0.754854202,,
v0.1-NLD.9.4_1-143873,13.36600018,9.121999741,11.82771969,1.194298983,260,-0.429280281,,
v0.1-NLD.9.4_1-120816,18,12.90799999,14.80699158,1.226172328,292,-0.305308342,,
v0.1-NLD.9.4_1-149706,17.72400093,0.566999972,16.21833992,1.662602544,410,0.205640793,,
v0.1-NLD.9.4_1-108726,13.32800007,9.642999649,11.82249641,1.099293947,256,-0.444903374,,
v0.1-NLD.9.4_1-51705,2.477999926,1.690000057,2.41269207,0.146952033,26,-0.018467903,,
v0.1-NLD.9.4_1-21595,17.5529995,0.508000016,15.63990021,1.917501926,380,-0.630599976,,
v0.1-NLD.9.4_1-63599,17.55699921,0.508000016,15.54864407,1.983724356,388,-0.729056358,,
v0.1-NLD.9.4_1-155848,6.15899992,2.431999922,4.370470524,1.109854579,51,1.83033061,,
v0.1-NLD.9.4_1-66800,15.06400013,11.3210001,13.38607121,1.166545272,14,11.07742119,,
v0.1-NLD.9.4_1-163754,13.4829998,12.4289999,12.54635525,0.149293602,279,0.09355545,,
v0.1-NLD.9.4_1-93418,13.56900024,9.803999901,11.76399612,1.225978374,267,-0.696703911,,
v0.1-NLD.9.4_1-158123,16.62199974,2.323999882,10.17609119,4.982636929,33,7.625871181,,
v0.1-NLD.9.4_1-81080,17.77199936,2.390000105,10.50175762,5.786509991,33,8.104187965,,
v0.1-NLD.9.4_1-113304,11.74699974,2.338000059,3.022607327,2.348527193,28,0.682787418,,
v0.1-NLD.9.4_1-115316,16.64699936,2.174999952,10.6450901,6.033889294,33,8.27229023,,
v0.1-NLD.9.4_1-5349,12.35900021,2.357000113,5.635356426,4.261787415,28,3.218566418,,
v0.1-NLD.9.4_1-159454,10.70800018,2.40199995,3.49953866,2.305794954,26,1.056448698,,
v0.1-NLD.9.4_1-65531,17.12700081,11.01799965,15.13578701,0.507162511,338,0.439287186,,
v0.1-NLD.9.4_1-126922,17.12400055,11.22900009,15.16048241,0.393835187,334,0.470082283,,
v0.1-NLD.9.4_1-86438,16.44799995,10.97399998,15.15940475,0.359251827,338,0.463504791,,
v0.1-NLD.9.4_1-52622,16.44000053,11.33300018,15.16323757,0.320180446,334,0.443237305,,
v0.1-NLD.9.4_1-30845,17.90600014,15.08500004,15.39513111,0.709516644,342,0.649830818,,
v0.1-NLD.9.4_1-106785,19.16399956,0.44600001,15.26246738,4.948698044,747,-1.944832802,,
v0.1-NLD.9.4_1-29512,16.82600021,12.89999962,14.79766655,1.038364768,337,-0.224933624,,
v0.1-NLD.9.4_1-87607,16.37199974,12.67399979,14.60277367,1.040940166,318,-0.240026474,,
v0.1-NLD.9.4_1-74352,16.54700089,12.48799992,14.87823391,0.895283759,316,-0.063466072,,
v0.1-NLD.9.4_1-151062,16.59399986,12.62800026,14.79438591,1.0003649,254,-0.158114433,,
v0.1-NLD.9.4_1-136590,13.30599976,9.729000092,12.52766705,0.265835315,276,0.034867287,,
v0.1-NLD.9.4_1-18393,13.72799969,9.753000259,11.73004532,1.235681891,263,-0.744754791,,
v0.1-NLD.9.4_1-59007,14.27799988,2.114000082,11.16728687,2.721660614,28,8.702136993,,
v0.1-NLD.9.4_1-80460,14.26900005,-0.156000003,7.996714592,4.86433363,35,5.742044449,,
v0.1-NLD.9.4_1-66126,16.73399925,9.748000145,12.91585636,1.098927736,230,0.43685627,,
v0.1-NLD.9.4_1-31748,13.53499985,9.701000214,12.20294571,0.89959085,275,-0.324054718,,
v0.1-NLD.9.4_1-81999,3.510999918,2.27699995,2.58829999,0.355368167,30,0.15508008,,
v0.1-NLD.9.4_1-116366,16.61700058,12.23900032,14.8128252,1.339755177,270,-0.780474663,,
v0.1-NLD.9.4_1-6720,17.0739994,12.90499973,15.53187466,1.045126796,272,-0.092124939,,
v0.1-NLD.9.4_1-168931,2.875,2.365999937,2.826740503,0.065563999,54,0.453450441,,
v0.1-NLD.9.4_1-168932,6.276000023,2.438999891,2.799928427,0.97816658,28,0.422008514,,
v0.1-NLD.9.4_1-128152,17.57799911,0.519999981,15.69579792,1.642604232,376,-0.27240181,,
v0.1-NLD.9.4_1-56591,16.67300034,9.649000168,12.43997669,1.646321774,212,0.264576912,,
v0.1-NLD.9.4_1-10792,17.5739994,0.55400002,16.3628788,0.978446424,440,0.395178795,,
v0.1-NLD.9.4_1-4059,16.89699936,12.9119997,15.51138687,0.9292472,565,0.005586624,,
v0.1-NLD.9.4_1-59910,16.60000038,12.79599953,15.0417366,1.183819532,269,-0.528162956,,
v0.1-NLD.9.4_1-41037,17.28899956,0.67900002,15.31634712,1.469043612,389,-0.660952568,,
v0.1-NLD.9.4_1-90744,17.34499931,13.58300018,15.98172283,0.836964011,356,-0.121478081,,
v0.1-NLD.9.4_1-18240,18.95999908,13.55300045,15.39124393,1.373483181,345,-0.739356041,,
v0.1-NLD.9.4_1-145733,17.38100052,16.33600044,16.42507553,0.149658203,374,0.462475777,,
v0.1-NLD.9.4_1-5369,16.47599983,13.01399994,15.06420231,0.940258443,331,0.149802208,,
v0.1-NLD.9.4_1-137117,16.59799957,13.04300022,14.76908207,0.96263355,289,-0.175718307,,
v0.1-NLD.9.4_1-155865,17.29899979,7.296000004,15.33103275,1.33400631,409,-0.522267342,,
v0.1-NLD.9.4_1-139644,17.34000015,13.5369997,15.42121792,1.304833889,450,-0.470582008,,
v0.1-NLD.9.4_1-20178,18.06500053,13.5340004,15.44360161,1.296763897,451,-0.427098274,,
v0.1-NLD.9.4_1-132899,18.10000038,13.5880003,16.32597351,0.338529915,460,0.433973312,,
v0.1-NLD.9.4_1-112425,4.664000034,0.407999992,3.141052246,0.693309903,95,-0.605207682,,
v0.1-NLD.9.4_1-33593,3.200999975,0.751999974,2.507560015,0.614022791,25,-0.034389973,,
v0.1-NLD.9.4_1-143,7.670000076,2.457999945,4.696565151,1.852578878,23,2.27671504,,
v0.1-NLD.9.4_1-52605,2.635999918,2.558000088,2.574642658,0.021998698,14,0.063242674,,
v0.1-NLD.9.4_1-131510,17.36800003,12.08500004,16.38049507,0.271439344,340,0.473794937,,
v0.1-NLD.9.4_1-66147,17.89500046,13.59399986,15.68176651,1.181906223,387,-0.169733047,,
v0.1-NLD.9.4_1-43795,7.263000011,2.460999966,4.512459755,0.70619148,74,0.202889919,,
v0.1-NLD.9.4_1-21484,9.079000473,2.457999945,5.064982414,2.305056095,56,2.604812384,,
v0.1-NLD.9.4_1-111163,7.756000042,2.427000046,3.423351765,1.75794518,71,0.985141754,,
v0.1-NLD.9.4_1-141750,6.092000008,2.540999889,4.694366455,0.860424519,90,0.648966312,,
v0.1-NLD.9.4_1-15494,18.47400093,4.321000099,14.37699318,3.398654938,515,-1.504106522,,
v0.1-NLD.9.4_1-137027,2.582999945,0.175999999,2.424145937,0.329019397,48,-0.013524055,,
v0.1-NLD.9.4_1-139724,17.26000023,4.18900013,14.70667362,2.404968023,853,-1.26932621,,
v0.1-NLD.9.4_1-108479,17.35499954,13.55900002,15.23431015,1.367968798,409,-0.59939003,,
v0.1-NLD.9.4_1-86414,17.38699913,12.76099968,14.65974998,1.396871567,291,-0.625749588,,
v0.1-NLD.9.4_1-33594,17.00099945,11.18500042,13.5333662,1.942203164,30,11.16821671,,
v0.1-NLD.9.4_1-64993,2.790999889,2.042999983,2.45917654,0.160523102,17,0.099656582,,
v0.1-NLD.9.4_1-85076,11.81200027,2.529999971,9.723294258,2.736348867,17,7.270144463,,
v0.1-NLD.9.4_1-103299,11.2840004,2.480000019,4.682374954,3.615192413,32,2.452075005,,
v0.1-NLD.9.4_1-90209,13.93200016,4.110000134,8.139243126,3.30924511,74,3.247023106,,
v0.1-NLD.9.4_1-4180,16.60000038,12.11499977,14.56312847,1.353106856,256,-0.682171822,,
v0.1-NLD.9.4_1-90743,16.83799934,9.930000305,14.04461002,1.253942847,571,-0.05659008,,
v0.1-NLD.9.4_1-31747,16.80599976,0.790000021,13.78181744,1.729764104,274,-0.578582764,,
v0.1-NLD.9.4_1-55687,7.146999836,4.160999775,4.864480972,0.685807645,27,-0.157809258,,
v0.1-NLD.9.4_1-72387,16.70299911,9.819999695,13.48329163,1.773543358,306,-1.096508026,,
v0.1-NLD.9.4_1-133042,16.91799927,9.796999931,13.66559601,1.573418498,287,-0.655103683,,
v0.1-NLD.9.4_1-35919,6.650000095,2.52699995,3.367261171,1.533309579,23,0.899671078,,
v0.1-NLD.9.4_1-142400,16.60000038,12.4630003,14.71891022,1.235957265,275,-0.549889565,,
v0.1-NLD.9.4_1-2848,2.957999945,0.248999998,2.476434708,0.482226968,23,0.029174805,,
v0.1-NLD.9.4_1-93417,16.81699944,9.741999626,13.14254951,1.463542938,231,1.008349419,,
v0.1-NLD.9.4_1-18815,16.63899994,12.89099979,14.71205521,1.236054897,270,-0.493644714,,
v0.1-NLD.9.4_1-14819,4.846000195,4.045000076,4.184432507,0.151230082,81,0.151062489,,
v0.1-NLD.9.4_1-112414,17.76399994,12.74800014,15.0270071,1.283100009,299,-0.403793335,,
v0.1-NLD.9.4_1-11735,6.190999985,2.427000046,2.607923031,0.716798604,26,0.182992935,,
v0.1-NLD.9.4_1-88264,16.66900063,12.51200008,14.81441402,1.016826987,261,-0.158185959,,
v0.1-NLD.9.4_1-4821,17.02300072,12.59700012,14.82265949,1.015666008,265,-0.17154026,,
v0.1-NLD.9.4_1-85773,16.67000008,12.47200012,14.81038952,1.008215189,260,-0.25151062,,
v0.1-NLD.9.4_1-53126,16.58300018,3.355000019,13.8485136,2.773224115,337,-1.097085953,,
v0.1-NLD.9.4_1-94243,16.83600044,3.111000061,14.12604523,2.478589535,313,-0.708854675,,
v0.1-NLD.9.4_1-129538,16.54199982,12.49699974,14.77597713,1.012919426,270,-0.20892334,,
v0.1-NLD.9.4_1-54386,16.57900047,12.52200031,14.87205696,1.013688684,263,-0.119143486,,
v0.1-NLD.9.4_1-30844,16.5529995,12.56999969,14.75186348,1.026417017,270,-0.273536682,,
v0.1-NLD.9.4_1-30203,16.51600075,12.53899956,14.7841301,1.033932209,269,-0.247469902,,
v0.1-NLD.9.4_1-12191,17.66600037,12.6619997,14.7545433,1.168005228,299,-0.368256569,,
v0.1-NLD.9.4_1-10232,2.519999981,2.459000111,2.485298395,0.0145433,57,0.077688456,,
v0.1-NLD.9.4_1-83744,2.545000076,2.438999891,2.46184206,0.022421651,57,0.141622066,,
v0.1-NLD.9.4_1-9477,17.24200058,13.45699978,15.0280962,1.398124456,375,-0.862303734,,
v0.1-NLD.9.4_1-70568,17.25799942,13.62699986,16.25952339,0.873718917,420,0.411123276,,
v0.1-NLD.9.4_1-35807,2.786000013,2.427999973,2.499769449,0.074054688,52,0.120079517,,
v0.1-NLD.9.4_1-62166,17.28100014,4.275000095,13.14708328,5.082054138,590,-2.660817146,,
v0.1-NLD.9.4_1-32814,17.34300041,2.457999945,6.150393009,4.162361622,3477,1.942663193,,
v0.1-NLD.9.4_1-141013,17.32099915,13.45199966,15.10017014,1.356716394,389,-0.754929543,,
v0.1-NLD.9.4_1-73790,5.410999775,2.395999908,2.829785824,0.812078893,56,0.410005808,,
v0.1-NLD.9.4_1-39794,17.28899956,4.265999794,13.06380653,5.165862083,603,-2.739793777,,
v0.1-NLD.9.4_1-34992,5.683000088,2.404000044,2.57648015,0.634330213,25,0.167330265,,
v0.1-NLD.9.4_1-35920,4.243999958,2.650000095,2.738739014,0.321274221,23,0.166158915,,
v0.1-NLD.9.4_1-27435,16.59300041,12.90499973,14.69337749,1.251234651,276,-0.557422638,,
v0.1-NLD.9.4_1-162145,7.440000057,2.427999973,5.77336359,1.320440412,44,3.403673649,,
v0.1-NLD.9.4_1-115192,4.127999783,1.088000059,2.634190321,0.51114291,21,0.016530275,,
v0.1-NLD.9.4_1-4708,5.260000229,2.273999929,2.640902042,0.758381426,51,0.251162052,,
v0.1-NLD.9.4_1-51302,4.717000008,2.144000053,2.748729229,0.720045686,59,0.359519243,,
v0.1-NLD.9.4_1-84640,17.75,12.69999981,15.03995037,1.223183274,318,-0.358249664,,
v0.1-NLD.9.4_1-99343,4.303999901,3.453999996,4.134917259,0.08249823,85,0.048417091,,
v0.1-NLD.9.4_1-122812,16.72100067,12.52299976,14.736022,1.237020135,265,-0.559178352,,
v0.1-NLD.9.4_1-123724,2.49000001,2.332999945,2.400079966,0.038221918,50,-0.028559923,,
v0.1-NLD.9.4_1-72606,17.48999977,12.64299965,14.91806889,1.315441728,301,-0.486830711,,
v0.1-NLD.9.4_1-19054,4.527999878,2.453999996,2.65180397,0.483019471,51,0.17373395,,
v0.1-NLD.9.4_1-142983,9.18500042,2.302999973,3.888454437,2.338389874,22,1.480354548,,
v0.1-NLD.9.4_1-164163,4.25,3.786999941,4.127840996,0.042474572,88,-0.377539158,,
v0.1-NLD.9.4_1-121457,16.69799995,12.11100006,14.86678219,1.11348033,275,-0.622918129,,
v0.1-NLD.9.4_1-98908,2.51699996,2.411999941,2.448212862,0.025137015,47,-0.047147036,,
v0.1-NLD.9.4_1-141646,6.90199995,2.253999949,3.008190393,1.361247182,21,0.583810329,,
v0.1-NLD.9.4_1-166661,2.828000069,2.497999907,2.540580034,0.066297255,50,0.000659943,,
v0.1-NLD.9.4_1-61764,17.47999954,12.63799953,15.0478611,1.207489967,294,-0.376639366,,
v0.1-NLD.9.4_1-115832,16.71500015,11.45100021,14.71226692,1.293053508,263,-0.578132629,,
v0.1-NLD.9.4_1-64233,7.074999809,4.106999874,4.398642063,0.624935746,81,0.242331982,,
v0.1-NLD.9.4_1-20807,2.585000038,2.474999905,2.516510248,0.028417535,49,-0.037989855,,
v0.1-NLD.9.4_1-23448,17.54400063,12.64599991,14.97222614,1.227261662,309,-0.422074318,,
v0.1-NLD.9.4_1-139184,2.739000082,2.535000086,2.589078188,0.055346973,51,0.020518303,,
v0.1-NLD.9.4_1-139725,5.639999866,2.378999949,2.679499865,0.785838008,18,0.1771698,,
v0.1-NLD.9.4_1-162147,16.70800018,12.30200005,14.74368668,1.258923292,255,-0.425912857,,
v0.1-NLD.9.4_1-89497,2.987999916,2.463000059,2.687978983,0.151780337,48,0.165749073,,
v0.1-NLD.9.4_1-94244,4.81099987,2.414000034,3.73990941,0.963284016,22,1.243649483,,
v0.1-NLD.9.4_1-62145,3.006999969,2.052999973,2.689009666,0.091927715,103,0.024729729,,
v0.1-NLD.9.4_1-55038,17.28899956,13.48400021,15.1988678,1.303206325,392,-0.645232201,,
v0.1-NLD.9.4_1-138332,2.497999907,0.057999998,2.272137403,0.554625392,51,-0.122512579,,
v0.1-NLD.9.4_1-14243,6.052999973,1.684000015,2.681137323,0.749854505,51,0.211557388,,
v0.1-NLD.9.4_1-130850,17.31299973,13.43900013,15.04745197,1.40059185,384,-0.785147667,,
v0.1-NLD.9.4_1-19607,9.416999817,2.58100009,7.220499992,1.738368392,44,4.69137001,,
v0.1-NLD.9.4_1-81858,17.39100075,3.605000019,12.09080029,5.03002882,586,-3.692799568,,
v0.1-NLD.9.4_1-8110,17.31599998,13.50199986,15.06608009,1.356593609,392,-1.032819748,,
v0.1-NLD.9.4_1-146321,16.36800003,2.517999887,3.446293354,2.340663671,92,0.36923337,,
v0.1-NLD.9.4_1-99344,17.63699913,13.52200031,15.10192013,1.377619624,378,-1.055979729,,
v0.1-NLD.9.4_1-90208,18.91300011,13.52900028,15.30123138,1.237433195,393,-0.602169037,,
v0.1-NLD.9.4_1-136317,16.9260006,3.763000011,11.21765327,1.660086274,969,-0.383446693,,
v0.1-NLD.9.4_1-122971,20.22599983,15.91899967,17.65502739,0.971731067,318,-0.016273499,,
v0.1-NLD.9.4_1-164315,17.49900055,11.86800003,14.95017147,1.613179207,334,-0.809928894,,
v0.1-NLD.9.4_1-132786,16.07900047,11.80500031,13.72290421,1.077724218,365,-0.49689579,,
v0.1-NLD.9.4_1-3556,16.19099998,11.87899971,13.25738716,0.959811866,364,-0.075212479,,
v0.1-NLD.9.4_1-61658,20.21999931,2.401000023,17.70714378,1.427346945,396,-0.185155869,,
v0.1-NLD.9.4_1-121449,10.0369997,3.559999943,8.570901871,1.513560176,524,0.145602226,,
v0.1-NLD.9.4_1-30821,9.994999886,3.565999985,8.555142403,1.506892085,527,0.196942329,,
v0.1-NLD.9.4_1-125494,4.288000107,2.217999935,3.222850084,0.740159929,20,1.21897006,,
v0.1-NLD.9.4_1-122157,3.565000057,2.09800005,2.604555607,0.669722259,18,0.678065658,,
